ExternalRiskEstimate,-162.4399877,-125.6306946,-52.19259083
MSinceOldestTradeOpen,-4.800125411,-85.23982346,-85.23982346
MSinceMostRecentTradeOpen,-5.680487361,4.966268972,-5.680487361
AverageMInFile,37.92669594,-78.61253321,-117.8843695
NumSatisfactoryTrades,10.85844494,-78.17223446,-33.27653204
NumTrades60Ever2DerogPubRec,-88.72618375,-88.72618375,11.93901033
NumTrades90Ever2DerogPubRec,7.488585177,-93.05384386,7.488585177
PercentTradesNeverDelq,-83.96712041,50.44096309,50.44096309
MSinceMostRecentDelq,-92.23537609,46.25716858,46.25716858
MaxDelq2PublicRecLast12M,-74.50035586,-90.57392689,56.33577053
MaxDelqEver,-56.35340567,49.47036311,49.47036311
NumTotalTrades,9.354362444,-50.68481484,-20.56121193
NumTradesOpeninLast12M,11.7785381,11.7785381,-17.79073056
PercentInstallTrades,6.07552187,-77.89212347,-23.32667377
MSinceMostRecentInqexcl7days,-37.78802022,-37.78802022,-37.78802022
NumInqLast6M,18.67672225,18.67672225,-32.18761689
NumInqLast6Mexcl7days,17.24246566,17.24246566,-35.89943452
NetFractionRevolvingBurden,-2.060679091,37.28782067,-60.23176871
NetFractionInstallBurden,20.11968218,20.11968218,-1.606374244
NumRevolvingTradesWBalance,-38.63152696,6.002078467,8.269536553
NumInstallTradesWBalance,12.17129972,12.17129972,4.283909392
NumBank2NatlTradesWHighUtilization,-21.83857742,45.724665,-21.83857742
PercentTradesWBalance,-13.61842015,90.8403634,-51.63420134
y,1,1,1
